model,benchmark_group,crop,input,feature_set,clinical_data,test_roc_auc,test_average_precision,test_balanced_accuracy,test_recall_sensitivity,test_specificity,test_precision,test_f1,test_tp,test_fp,test_fn,test_tn,selected_threshold_from_validation,best_c,num_embedding_features,official_train_final_fit,official_test,run_name,run_dir,embeddings
RadioDINO,Image-only,Whole volume,Phase 1 - phase 0,Image-only,No,0.5283457014488364,0.3526880587670031,0.512267151294866,0.5268817204301075,0.4976525821596244,0.3141025641025641,0.393574297188755,49,107,44,106,0.412,0.1,384.0,1185,306,radiodino_whole_phase1_minus_phase0_logreg,Benchmarking/outputs/probes/radiodino_whole_phase1_minus_phase0_logreg,Benchmarking/outputs/embeddings/radiodino/whole_phase1_minus_phase0/patient_embeddings.csv
RadioDINO,Image-only,Whole volume,Phase 2,Image-only,No,0.4886162855267807,0.2959286366895908,0.4878085718612752,0.8817204301075269,0.0938967136150234,0.2981818181818181,0.4456521739130434,82,193,11,20,0.006,10.0,384.0,1185,306,radiodino_whole_phase2_logreg,Benchmarking/outputs/probes/radiodino_whole_phase2_logreg,Benchmarking/outputs/embeddings/radiodino/whole_phase2/patient_embeddings.csv
RadioDINO,Image-only,Whole volume,Phase 2 - phase 0,Image-only,No,0.548639507294664,0.3269572810867655,0.5534605482356505,0.8064516129032258,0.3004694835680751,0.3348214285714285,0.473186119873817,75,149,18,64,0.082,3.0,384.0,1185,306,radiodino_whole_phase2_minus_phase0_logreg,Benchmarking/outputs/probes/radiodino_whole_phase2_minus_phase0_logreg,Benchmarking/outputs/embeddings/radiodino/whole_phase2_minus_phase0/patient_embeddings.csv
RadioDINO,Image-only,Whole volume,Raw phase fusion,Image-only fused embeddings,No,0.5230955626230501,0.3416528353063173,0.5219597152809329,0.1612903225806451,0.8826291079812206,0.375,0.225563909774436,15,25,78,188,0.59,0.001,1536.0,1185,306,radiodino_whole_raw_phases_fusion_logreg,Benchmarking/outputs/probes/radiodino_whole_raw_phases_fusion_logreg,Benchmarking/outputs/embeddings/radiodino/whole_raw_phases_fusion/patient_embeddings.csv
RadioDINO,Image-only,Whole volume,Subtraction fusion,Image-only fused embeddings,No,0.5258215962441314,0.3538232926015317,0.5126457670755717,0.2365591397849462,0.7887323943661971,0.3283582089552239,0.275,22,45,71,168,0.96,10.0,1152.0,1185,306,radiodino_whole_subtractions_fusion_logreg,Benchmarking/outputs/probes/radiodino_whole_subtractions_fusion_logreg,Benchmarking/outputs/embeddings/radiodino/whole_subtractions_fusion/patient_embeddings.csv
RadioDINO,Image-only,Expert ROI,Phase 1,Image-only,No,0.5457115452572063,0.37590359898977,0.5220354384370741,0.5698924731182796,0.4741784037558685,0.3212121212121212,0.4108527131782946,53,112,40,101,0.428,0.003,384.0,1185,306,radiodino_expert_roi_phase1_logreg,Benchmarking/outputs/probes/radiodino_expert_roi_phase1_logreg,Benchmarking/outputs/embeddings/radiodino/expert_roi_phase1/patient_embeddings.csv
RadioDINO,Image-only,Expert ROI,Phase 2 - phase 0,Image-only,No,0.5730728456762078,0.3870210360841036,0.5535362713917915,0.5483870967741935,0.5586854460093896,0.3517241379310344,0.4285714285714285,51,94,42,119,0.476,0.001,384.0,1185,306,radiodino_expert_roi_phase2_minus_phase0_logreg,Benchmarking/outputs/probes/radiodino_expert_roi_phase2_minus_phase0_logreg,Benchmarking/outputs/embeddings/radiodino/expert_roi_phase2_minus_phase0/patient_embeddings.csv
RadioDINO,Image-only,Expert ROI,Selected ROI fusion,Image-only fused embeddings,No,0.5557070018678378,0.3635927411431334,0.5356656065424806,0.4516129032258064,0.6197183098591549,0.3414634146341463,0.3888888888888889,42,81,51,132,0.476,0.001,768.0,1185,306,radiodino_expert_roi_selected_fusion_logreg,Benchmarking/outputs/probes/radiodino_expert_roi_selected_fusion_logreg,Benchmarking/outputs/embeddings/radiodino/expert_roi_selected_fusion/patient_embeddings.csv
RadioDINO,Image + clinical,Whole volume,All DCE fusion,Image + clinical,Yes,0.6144681710333686,0.4053459136445118,0.602301983946691,0.6881720430107527,0.5164319248826291,0.3832335329341317,0.4923076923076923,64,103,29,110,0.308,0.01,2688.0,1185,306,radiodino_whole_all_dce_fusion_image_clinical_logreg,Benchmarking/outputs/probes/radiodino_whole_all_dce_fusion_image_clinical_logreg,Benchmarking/outputs/embeddings/radiodino/whole_all_dce_fusion/patient_embeddings.csv
RadioDINO,Image + clinical,Whole volume,Phase 1,Image + clinical,Yes,0.6399111514967943,0.4068823336719138,0.5924579736483417,0.5698924731182796,0.6150234741784038,0.3925925925925926,0.4649122807017544,53,82,40,131,0.312,1.0,384.0,1185,306,radiodino_whole_phase1_image_clinical_logreg,Benchmarking/outputs/probes/radiodino_whole_phase1_image_clinical_logreg,Benchmarking/outputs/embeddings/radiodino/whole_phase1/patient_embeddings.csv
RadioDINO,Image + clinical,Whole volume,Phase 2 - phase 0,Image + clinical,Yes,0.7006411227219951,0.4750135407655981,0.6221414508556716,0.4086021505376344,0.8356807511737089,0.5205479452054794,0.4578313253012048,38,35,55,178,0.602,0.03,384.0,1185,306,radiodino_whole_phase2_minus_phase0_image_clinical_logreg,Benchmarking/outputs/probes/radiodino_whole_phase2_minus_phase0_image_clinical_logreg,Benchmarking/outputs/embeddings/radiodino/whole_phase2_minus_phase0/patient_embeddings.csv
RadioDINO,Image + clinical,Expert ROI,Phase 2 - phase 0,Image + clinical,Yes,0.7060931899641578,0.5005498013682728,0.6383462062698773,0.5161290322580645,0.7605633802816901,0.4848484848484848,0.5,48,51,45,162,0.5,0.003,384.0,1185,306,radiodino_expert_roi_phase2_minus_phase0_image_clinical_logreg,Benchmarking/outputs/probes/radiodino_expert_roi_phase2_minus_phase0_image_clinical_logreg,Benchmarking/outputs/embeddings/radiodino/expert_roi_phase2_minus_phase0/patient_embeddings.csv
BiomedCLIP,Image-only,Whole volume,All DCE fusion,Image-only fused embeddings,No,0.6016961986975616,0.4093918882612055,0.5438437074057247,0.2473118279569892,0.8403755868544601,0.4035087719298245,0.3066666666666666,23,34,70,179,0.552,0.001,3584.0,1185,306,biomedclip_whole_all_dce_fusion_logreg,Benchmarking/outputs/probes/biomedclip_whole_all_dce_fusion_logreg,Benchmarking/outputs/embeddings/biomedclip/whole_all_dce_fusion/patient_embeddings.csv
BiomedCLIP,Image-only,Whole volume,Last phase,Image-only,No,0.5908930284214247,0.3806428550557232,0.5673178858094805,0.5806451612903226,0.5539906103286385,0.3624161073825503,0.4462809917355372,54,95,39,118,0.444,1.0,512.0,1185,306,biomedclip_whole_last_phase_logreg,Benchmarking/outputs/probes/biomedclip_whole_last_phase_logreg,Benchmarking/outputs/embeddings/biomedclip/whole_last_phase/patient_embeddings.csv
BiomedCLIP,Image-only,Whole volume,Last phase - phase 0,Image-only,No,0.5462668484022414,0.3516699681817455,0.5041647735877631,0.1397849462365591,0.8685446009389671,0.3170731707317073,0.1940298507462686,13,28,80,185,0.5740000000000001,0.003,512.0,1185,306,biomedclip_whole_last_phase_minus_phase0_logreg,Benchmarking/outputs/probes/biomedclip_whole_last_phase_minus_phase0_logreg,Benchmarking/outputs/embeddings/biomedclip/whole_last_phase_minus_phase0/patient_embeddings.csv
BiomedCLIP,Image-only,Whole volume,Phase 0,Image-only,No,0.5723156141147963,0.3825783148437979,0.5350598212933515,0.1827956989247312,0.8873239436619719,0.4146341463414634,0.2537313432835821,17,24,76,189,0.634,3.0,512.0,1185,306,biomedclip_whole_phase0_logreg,Benchmarking/outputs/probes/biomedclip_whole_phase0_logreg,Benchmarking/outputs/embeddings/biomedclip/whole_phase0/patient_embeddings.csv
BiomedCLIP,Image-only,Whole volume,Phase 1,Image-only,No,0.6184057751527084,0.4040669139698684,0.5755717098288656,0.7849462365591398,0.3661971830985915,0.3509615384615384,0.4850498338870432,73,135,20,78,0.362,0.01,512.0,1185,306,biomedclip_whole_phase1_logreg,Benchmarking/outputs/probes/biomedclip_whole_phase1_logreg,Benchmarking/outputs/embeddings/biomedclip/whole_phase1/patient_embeddings.csv
BiomedCLIP,Image-only,Whole volume,Phase 1 - phase 0,Image-only,No,0.6035640365490433,0.3824700427590582,0.5293048614266243,0.1290322580645161,0.9295774647887324,0.4444444444444444,0.2,12,15,81,198,0.6940000000000001,10.0,512.0,1185,306,biomedclip_whole_phase1_minus_phase0_logreg,Benchmarking/outputs/probes/biomedclip_whole_phase1_minus_phase0_logreg,Benchmarking/outputs/embeddings/biomedclip/whole_phase1_minus_phase0/patient_embeddings.csv
BiomedCLIP,Image-only,Whole volume,Phase 2,Image-only,No,0.5837245696400627,0.3967378493217119,0.5357413296986218,0.5268817204301075,0.5446009389671361,0.3356164383561644,0.4100418410041841,49,97,44,116,0.438,1.0,512.0,1185,306,biomedclip_whole_phase2_logreg,Benchmarking/outputs/probes/biomedclip_whole_phase2_logreg,Benchmarking/outputs/embeddings/biomedclip/whole_phase2/patient_embeddings.csv
BiomedCLIP,Image-only,Whole volume,Phase 2 - phase 0,Image-only,No,0.5418244232419608,0.3410813013002609,0.5192336816598515,0.1182795698924731,0.92018779342723,0.3928571428571428,0.1818181818181818,11,17,82,196,0.706,10.0,512.0,1185,306,biomedclip_whole_phase2_minus_phase0_logreg,Benchmarking/outputs/probes/biomedclip_whole_phase2_minus_phase0_logreg,Benchmarking/outputs/embeddings/biomedclip/whole_phase2_minus_phase0/patient_embeddings.csv
BiomedCLIP,Image-only,Whole volume,Raw phase fusion,Image-only fused embeddings,No,0.5825634812458983,0.3710858495690294,0.559897016507648,0.5376344086021505,0.5821596244131455,0.3597122302158273,0.4310344827586206,50,89,43,124,0.428,0.01,2048.0,1185,306,biomedclip_whole_raw_phases_fusion_logreg,Benchmarking/outputs/probes/biomedclip_whole_raw_phases_fusion_logreg,Benchmarking/outputs/embeddings/biomedclip/whole_raw_phases_fusion/patient_embeddings.csv
BiomedCLIP,Image-only,Whole volume,Subtraction fusion,Image-only fused embeddings,No,0.5564642334292493,0.363676595304893,0.5304407087687415,0.9247311827956988,0.136150234741784,0.3185185185185185,0.4738292011019284,86,184,7,29,0.28,0.003,1536.0,1185,306,biomedclip_whole_subtractions_fusion_logreg,Benchmarking/outputs/probes/biomedclip_whole_subtractions_fusion_logreg,Benchmarking/outputs/embeddings/biomedclip/whole_subtractions_fusion/patient_embeddings.csv
BiomedCLIP,Image-only,Expert ROI,Phase 1,Image-only,No,0.5803927507698521,0.3797339075250244,0.5610328638497653,0.3333333333333333,0.7887323943661971,0.4078947368421052,0.3668639053254438,31,45,62,168,0.536,0.001,512.0,1185,306,biomedclip_expert_roi_phase1_logreg,Benchmarking/outputs/probes/biomedclip_expert_roi_phase1_logreg,Benchmarking/outputs/embeddings/biomedclip/expert_roi_phase1/patient_embeddings.csv
BiomedCLIP,Image-only,Expert ROI,Phase 2 - phase 0,Image-only,No,0.549144328335605,0.3634737927432043,0.5488414357110405,0.8817204301075269,0.215962441314554,0.3293172690763052,0.47953216374269,82,167,11,46,0.374,0.001,512.0,1185,306,biomedclip_expert_roi_phase2_minus_phase0_logreg,Benchmarking/outputs/probes/biomedclip_expert_roi_phase2_minus_phase0_logreg,Benchmarking/outputs/embeddings/biomedclip/expert_roi_phase2_minus_phase0/patient_embeddings.csv
BiomedCLIP,Image-only,Expert ROI,Selected ROI fusion,Image-only fused embeddings,No,0.5649452269170581,0.360894888693732,0.530743601393306,0.2258064516129032,0.8356807511737089,0.375,0.2818791946308724,21,35,72,178,0.56,0.001,1024.0,1185,306,biomedclip_expert_roi_selected_fusion_logreg,Benchmarking/outputs/probes/biomedclip_expert_roi_selected_fusion_logreg,Benchmarking/outputs/embeddings/biomedclip/expert_roi_selected_fusion/patient_embeddings.csv
BiomedCLIP,Image + clinical,Whole volume,All DCE fusion,Image + clinical,Yes,0.6695946287041245,0.4679679351643203,0.624337422383765,0.5913978494623656,0.6572769953051644,0.4296875,0.497737556561086,55,73,38,140,0.424,0.003,3584.0,1185,306,biomedclip_whole_all_dce_fusion_image_clinical_logreg,Benchmarking/outputs/probes/biomedclip_whole_all_dce_fusion_image_clinical_logreg,Benchmarking/outputs/embeddings/biomedclip/whole_all_dce_fusion/patient_embeddings.csv
BiomedCLIP,Image + clinical,Whole volume,Phase 1,Image + clinical,Yes,0.7388560755212277,0.5525255255312197,0.6046494017870665,0.3548387096774194,0.8544600938967136,0.515625,0.4203821656050955,33,31,60,182,0.606,0.03,512.0,1185,306,biomedclip_whole_phase1_image_clinical_logreg,Benchmarking/outputs/probes/biomedclip_whole_phase1_image_clinical_logreg,Benchmarking/outputs/embeddings/biomedclip/whole_phase1/patient_embeddings.csv
BiomedCLIP,Image + clinical,Whole volume,Phase 2 - phase 0,Image + clinical,Yes,0.6856984199101419,0.4522110575943039,0.6125246100257459,0.5161290322580645,0.7089201877934272,0.4363636363636363,0.4729064039408867,48,62,45,151,0.504,0.3,512.0,1185,306,biomedclip_whole_phase2_minus_phase0_image_clinical_logreg,Benchmarking/outputs/probes/biomedclip_whole_phase2_minus_phase0_image_clinical_logreg,Benchmarking/outputs/embeddings/biomedclip/whole_phase2_minus_phase0/patient_embeddings.csv
BiomedCLIP,Image + clinical,Expert ROI,Phase 2 - phase 0,Image + clinical,Yes,0.7062446362764402,0.512677211496683,0.6515977585945782,0.6881720430107527,0.6150234741784038,0.4383561643835616,0.5355648535564853,64,82,29,131,0.422,0.01,512.0,1185,306,biomedclip_expert_roi_phase2_minus_phase0_image_clinical_logreg,Benchmarking/outputs/probes/biomedclip_expert_roi_phase2_minus_phase0_image_clinical_logreg,Benchmarking/outputs/embeddings/biomedclip/expert_roi_phase2_minus_phase0/patient_embeddings.csv
Curia,Image-only,Whole volume,All DCE fusion,Image-only fused embeddings,No,0.5309707708617295,0.3431535538156497,0.5049977283053158,0.3010752688172043,0.7089201877934272,0.3111111111111111,0.3060109289617486,28,62,65,151,0.18,10.0,5376.0,1185,306,curia_whole_all_dce_fusion_logreg,Benchmarking/outputs/probes/curia_whole_all_dce_fusion_logreg,Benchmarking/outputs/embeddings/curia/whole_all_dce_fusion/patient_embeddings.csv
Curia,Image-only,Whole volume,Last phase,Image-only,No,0.5266797920137312,0.3376909273269899,0.4890201423595335,0.4193548387096774,0.5586854460093896,0.2932330827067669,0.3451327433628318,39,94,54,119,0.488,0.001,768.0,1185,306,curia_whole_last_phase_logreg,Benchmarking/outputs/probes/curia_whole_last_phase_logreg,Benchmarking/outputs/embeddings/curia/whole_last_phase/patient_embeddings.csv
Curia,Image-only,Whole volume,Last phase - phase 0,Image-only,No,0.5333939118582463,0.3452645187512259,0.5181735574738755,0.064516129032258,0.971830985915493,0.5,0.1142857142857142,6,6,87,207,0.604,0.001,768.0,1185,306,curia_whole_last_phase_minus_phase0_logreg,Benchmarking/outputs/probes/curia_whole_last_phase_minus_phase0_logreg,Benchmarking/outputs/embeddings/curia/whole_last_phase_minus_phase0/patient_embeddings.csv
Curia,Image-only,Whole volume,Phase 0,Image-only,No,0.480034327830784,0.3056882751282566,0.4967439042859306,0.0967741935483871,0.8967136150234741,0.2903225806451613,0.1451612903225806,9,22,84,191,0.87,1.0,768.0,1185,306,curia_whole_phase0_logreg,Benchmarking/outputs/probes/curia_whole_phase0_logreg,Benchmarking/outputs/embeddings/curia/whole_phase0/patient_embeddings.csv
Curia,Image-only,Whole volume,Phase 1,Image-only,No,0.5008834368216467,0.3057620405423867,0.4872785097682871,0.021505376344086,0.9530516431924884,0.1666666666666666,0.0380952380952381,2,10,91,203,0.608,0.001,768.0,1185,306,curia_whole_phase1_logreg,Benchmarking/outputs/probes/curia_whole_phase1_logreg,Benchmarking/outputs/embeddings/curia/whole_phase1/patient_embeddings.csv
Curia,Image-only,Whole volume,Phase 1 - phase 0,Image-only,No,0.4727649048412338,0.2869007105085026,0.4984098137210359,0.4193548387096774,0.5774647887323944,0.3023255813953488,0.3513513513513513,39,90,54,123,0.452,0.1,768.0,1185,306,curia_whole_phase1_minus_phase0_logreg,Benchmarking/outputs/probes/curia_whole_phase1_minus_phase0_logreg,Benchmarking/outputs/embeddings/curia/whole_phase1_minus_phase0/patient_embeddings.csv
Curia,Image-only,Whole volume,Phase 2,Image-only,No,0.5258720783482255,0.3499929975886252,0.5013630168105406,0.021505376344086,0.9812206572769951,0.3333333333333333,0.0404040404040404,2,4,91,209,0.632,0.001,768.0,1185,306,curia_whole_phase2_logreg,Benchmarking/outputs/probes/curia_whole_phase2_logreg,Benchmarking/outputs/embeddings/curia/whole_phase2/patient_embeddings.csv
Curia,Image-only,Whole volume,Phase 2 - phase 0,Image-only,No,0.5128476954919481,0.3159392210870018,0.522489777373921,0.3548387096774194,0.6901408450704225,0.3333333333333333,0.34375,33,66,60,147,0.554,1.0,768.0,1185,306,curia_whole_phase2_minus_phase0_logreg,Benchmarking/outputs/probes/curia_whole_phase2_minus_phase0_logreg,Benchmarking/outputs/embeddings/curia/whole_phase2_minus_phase0/patient_embeddings.csv
Curia,Image-only,Whole volume,Raw phase fusion,Image-only fused embeddings,No,0.5434903326770659,0.3407321267199977,0.5128729365439951,0.1290322580645161,0.8967136150234741,0.3529411764705882,0.1889763779527559,12,22,81,191,0.726,0.1,3072.0,1185,306,curia_whole_raw_phases_fusion_logreg,Benchmarking/outputs/probes/curia_whole_raw_phases_fusion_logreg,Benchmarking/outputs/embeddings/curia/whole_raw_phases_fusion/patient_embeddings.csv
Curia,Image-only,Whole volume,Subtraction fusion,Image-only fused embeddings,No,0.4833156645969003,0.3055520609388865,0.4629713766469786,0.1935483870967742,0.7323943661971831,0.24,0.2142857142857142,18,57,75,156,0.65,1.0,2304.0,1185,306,curia_whole_subtractions_fusion_logreg,Benchmarking/outputs/probes/curia_whole_subtractions_fusion_logreg,Benchmarking/outputs/embeddings/curia/whole_subtractions_fusion/patient_embeddings.csv
Curia,Image-only,Expert ROI,Phase 1,Image-only,No,0.6016961986975617,0.4304761488389308,0.5433893684688778,0.7956989247311828,0.2910798122065727,0.3288888888888889,0.4654088050314465,74,151,19,62,0.392,0.003,768.0,1185,306,curia_expert_roi_phase1_logreg,Benchmarking/outputs/probes/curia_expert_roi_phase1_logreg,Benchmarking/outputs/embeddings/curia/expert_roi_phase1/patient_embeddings.csv
Curia,Image-only,Expert ROI,Phase 2 - phase 0,Image-only,No,0.6295623201575042,0.4339458971681796,0.5782220202938059,0.4193548387096774,0.7370892018779343,0.4105263157894737,0.4148936170212766,39,56,54,157,0.52,0.003,768.0,1185,306,curia_expert_roi_phase2_minus_phase0_logreg,Benchmarking/outputs/probes/curia_expert_roi_phase2_minus_phase0_logreg,Benchmarking/outputs/embeddings/curia/expert_roi_phase2_minus_phase0/patient_embeddings.csv
Curia,Image-only,Expert ROI,Selected ROI fusion,Image-only fused embeddings,No,0.60795597960523,0.4458450731776774,0.5464940178706649,0.2150537634408602,0.8779342723004695,0.4347826086956521,0.2877697841726618,20,26,73,187,0.562,0.001,1536.0,1185,306,curia_expert_roi_selected_fusion_logreg,Benchmarking/outputs/probes/curia_expert_roi_selected_fusion_logreg,Benchmarking/outputs/embeddings/curia/expert_roi_selected_fusion/patient_embeddings.csv
Curia,Image + clinical,Whole volume,All DCE fusion,Image + clinical,Yes,0.6208289161492252,0.3998529138212682,0.6169922762380736,0.6236559139784946,0.6103286384976526,0.4113475177304964,0.4957264957264957,58,83,35,130,0.042,3.0,5376.0,1185,306,curia_whole_all_dce_fusion_image_clinical_logreg,Benchmarking/outputs/probes/curia_whole_all_dce_fusion_image_clinical_logreg,Benchmarking/outputs/embeddings/curia/whole_all_dce_fusion/patient_embeddings.csv
Curia,Image + clinical,Whole volume,Phase 1,Image + clinical,Yes,0.6730274117825231,0.4432133365363474,0.581856731788581,0.3655913978494624,0.7981220657276995,0.4415584415584415,0.4,34,43,59,170,0.5660000000000001,0.01,768.0,1185,306,curia_whole_phase1_image_clinical_logreg,Benchmarking/outputs/probes/curia_whole_phase1_image_clinical_logreg,Benchmarking/outputs/embeddings/curia/whole_phase1/patient_embeddings.csv
Curia,Image + clinical,Whole volume,Phase 2 - phase 0,Image + clinical,Yes,0.653086980665354,0.4450300129351885,0.5876874148114494,0.4946236559139785,0.6807511737089202,0.4035087719298245,0.4444444444444444,46,68,47,145,0.486,0.1,768.0,1185,306,curia_whole_phase2_minus_phase0_image_clinical_logreg,Benchmarking/outputs/probes/curia_whole_phase2_minus_phase0_image_clinical_logreg,Benchmarking/outputs/embeddings/curia/whole_phase2_minus_phase0/patient_embeddings.csv
Curia,Image + clinical,Expert ROI,Phase 2 - phase 0,Image + clinical,Yes,0.723660962188904,0.5428094059854425,0.6575041647735878,0.5591397849462365,0.755868544600939,0.5,0.5279187817258884,52,52,41,161,0.494,0.001,768.0,1185,306,curia_expert_roi_phase2_minus_phase0_image_clinical_logreg,Benchmarking/outputs/probes/curia_expert_roi_phase2_minus_phase0_image_clinical_logreg,Benchmarking/outputs/embeddings/curia/expert_roi_phase2_minus_phase0/patient_embeddings.csv
MedSigLIP,Image-only,Whole volume,All DCE fusion,Image-only fused embeddings,No,0.5474784189004998,0.3685709888357671,0.5195365742844161,0.4193548387096774,0.6197183098591549,0.325,0.3661971830985915,39,81,54,132,0.472,0.001,8064.0,1185,306,medsiglip_whole_all_dce_fusion_logreg,Benchmarking/outputs/probes/medsiglip_whole_all_dce_fusion_logreg,Benchmarking/outputs/embeddings/medsiglip/whole_all_dce_fusion/patient_embeddings.csv
MedSigLIP,Image-only,Whole volume,Last phase,Image-only,No,0.5929627946892827,0.3777763001477257,0.5461154020899591,0.8387096774193549,0.2535211267605634,0.3291139240506329,0.4727272727272727,78,159,15,54,0.172,0.1,1152.0,1185,306,medsiglip_whole_last_phase_logreg,Benchmarking/outputs/probes/medsiglip_whole_last_phase_logreg,Benchmarking/outputs/embeddings/medsiglip/whole_last_phase/patient_embeddings.csv
MedSigLIP,Image-only,Whole volume,Last phase - phase 0,Image-only,No,0.5605028017567772,0.3466346267238883,0.5422535211267605,0.6666666666666666,0.4178403755868544,0.3333333333333333,0.4444444444444444,62,124,31,89,0.396,0.003,1152.0,1185,306,medsiglip_whole_last_phase_minus_phase0_logreg,Benchmarking/outputs/probes/medsiglip_whole_last_phase_minus_phase0_logreg,Benchmarking/outputs/embeddings/medsiglip/whole_last_phase_minus_phase0/patient_embeddings.csv
MedSigLIP,Image-only,Whole volume,Phase 0,Image-only,No,0.5406128527437024,0.3305397482970978,0.540966227472361,0.3870967741935484,0.6948356807511737,0.3564356435643564,0.3711340206185567,36,65,57,148,0.582,0.3,1152.0,1185,306,medsiglip_whole_phase0_logreg,Benchmarking/outputs/probes/medsiglip_whole_phase0_logreg,Benchmarking/outputs/embeddings/medsiglip/whole_phase0/patient_embeddings.csv
MedSigLIP,Image-only,Whole volume,Phase 1,Image-only,No,0.542985511636125,0.3659143813809171,0.5330152960775405,0.1505376344086021,0.9154929577464788,0.4375,0.224,14,18,79,195,0.998,10.0,1152.0,1185,306,medsiglip_whole_phase1_logreg,Benchmarking/outputs/probes/medsiglip_whole_phase1_logreg,Benchmarking/outputs/embeddings/medsiglip/whole_phase1/patient_embeddings.csv
